65	PARTIDO COMUNISTA DO BRASIL	00078	13
70	PARTIDO TRABALHISTA DO BRASIL	00078	13
77	SOLIDARIEDADE	00078	13
90	PARTIDO REPUBLICANO DA ORDEM SOCIAL	00078	13
10	PARTIDO REPUBLICANO BRASILEIRO	00094	13
11	PARTIDO PROGRESSISTA	00094	13
12	PARTIDO DEMOCRÁTICO TRABALHISTA	00094	13
13	PARTIDO DOS TRABALHADORES	00094	13
14	PARTIDO TRABALHISTA BRASILEIRO	00094	13
15	PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO	00094	13
17	PARTIDO SOCIAL LIBERAL	00094	13
18	REDE SUSTENTABILIDADE	00094	13
19	PARTIDO TRABALHISTA NACIONAL	00094	13
22	PARTIDO DA REPÚBLICA	00094	13
23	PARTIDO POPULAR SOCIALISTA	00094	13
25	DEMOCRATAS	00094	13
27	PARTIDO SOCIAL DEMOCRATA CRISTÃO	00094	13
31	PARTIDO HUMANISTA DA SOLIDARIEDADE	00094	13
33	PARTIDO DA MOBILIZAÇÃO NACIONAL	00094	13
40	PARTIDO SOCIALISTA BRASILEIRO	00094	13
43	PARTIDO VERDE	00094	13
44	PARTIDO REPUBLICANO PROGRESSISTA	00094	13
45	PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA	00094	13
50	PARTIDO SOCIALISMO E LIBERDADE	00094	13
51	PARTIDO ECOLÓGICO NACIONAL	00094	13
55	PARTIDO SOCIAL DEMOCRÁTICO	00094	13
77	SOLIDARIEDADE	00094	13
10	PARTIDO REPUBLICANO BRASILEIRO	00116	13
11	PARTIDO PROGRESSISTA	00116	13
12	PARTIDO DEMOCRÁTICO TRABALHISTA	00116	13
13	PARTIDO DOS TRABALHADORES	00116	13
14	PARTIDO TRABALHISTA BRASILEIRO	00116	13
15	PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO	00116	13
20	PARTIDO SOCIAL CRISTÃO	00116	13
22	PARTIDO DA REPÚBLICA	00116	13
25	DEMOCRATAS	00116	13
27	PARTIDO SOCIAL DEMOCRATA CRISTÃO	00116	13
33	PARTIDO DA MOBILIZAÇÃO NACIONAL	00116	13
40	PARTIDO SOCIALISTA BRASILEIRO	00116	13
43	PARTIDO VERDE	00116	13
45	PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA	00116	13
55	PARTIDO SOCIAL DEMOCRÁTICO	00116	13
65	PARTIDO COMUNISTA DO BRASIL	00116	13
10	PARTIDO REPUBLICANO BRASILEIRO	00132	13
11	PARTIDO PROGRESSISTA	00132	13
12	PARTIDO DEMOCRÁTICO TRABALHISTA	00132	13
13	PARTIDO DOS TRABALHADORES	00132	13
14	PARTIDO TRABALHISTA BRASILEIRO	00132	13
15	PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO	00132	13
19	PARTIDO TRABALHISTA NACIONAL	00132	13
20	PARTIDO SOCIAL CRISTÃO	00132	13
22	PARTIDO DA REPÚBLICA	00132	13
23	PARTIDO POPULAR SOCIALISTA	00132	13
25	DEMOCRATAS	00132	13
27	PARTIDO SOCIAL DEMOCRATA CRISTÃO	00132	13
31	PARTIDO HUMANISTA DA SOLIDARIEDADE	00132	13
33	PARTIDO DA MOBILIZAÇÃO NACIONAL	00132	13
36	PARTIDO TRABALHISTA CRISTÃO	00132	13
40	PARTIDO SOCIALISTA BRASILEIRO	00132	13
43	PARTIDO VERDE	00132	13
44	PARTIDO REPUBLICANO PROGRESSISTA	00132	13
45	PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA	00132	13
50	PARTIDO SOCIALISMO E LIBERDADE	00132	13
55	PARTIDO SOCIAL DEMOCRÁTICO	00132	13
65	PARTIDO COMUNISTA DO BRASIL	00132	13
70	PARTIDO TRABALHISTA DO BRASIL	00132	13
77	SOLIDARIEDADE	00132	13
10	PARTIDO REPUBLICANO BRASILEIRO	00159	13
11	PARTIDO PROGRESSISTA	00159	13
12	PARTIDO DEMOCRÁTICO TRABALHISTA	00159	13
13	PARTIDO DOS TRABALHADORES	00159	13
14	PARTIDO TRABALHISTA BRASILEIRO	00159	13
15	PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO	00159	13
19	PARTIDO TRABALHISTA NACIONAL	00159	13
20	PARTIDO SOCIAL CRISTÃO	00159	13
23	PARTIDO POPULAR SOCIALISTA	00159	13
25	DEMOCRATAS	00159	13
27	PARTIDO SOCIAL DEMOCRATA CRISTÃO	00159	13
31	PARTIDO HUMANISTA DA SOLIDARIEDADE	00159	13
33	PARTIDO DA MOBILIZAÇÃO NACIONAL	00159	13
40	PARTIDO SOCIALISTA BRASILEIRO	00159	13
43	PARTIDO VERDE	00159	13
44	PARTIDO REPUBLICANO PROGRESSISTA	00159	13
45	PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA	00159	13
51	PARTIDO ECOLÓGICO NACIONAL	00159	13
65	PARTIDO COMUNISTA DO BRASIL	00159	13
77	SOLIDARIEDADE	00159	13
10	PARTIDO REPUBLICANO BRASILEIRO	00175	13
11	PARTIDO PROGRESSISTA	00175	13
12	PARTIDO DEMOCRÁTICO TRABALHISTA	00175	13
13	PARTIDO DOS TRABALHADORES	00175	13
14	PARTIDO TRABALHISTA BRASILEIRO	00175	13
15	PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO	00175	13
20	PARTIDO SOCIAL CRISTÃO	00175	13
22	PARTIDO DA REPÚBLICA	00175	13
27	PARTIDO SOCIAL DEMOCRATA CRISTÃO	00175	13
31	PARTIDO HUMANISTA DA SOLIDARIEDADE	00175	13
40	PARTIDO SOCIALISTA BRASILEIRO	00175	13
44	PARTIDO REPUBLICANO PROGRESSISTA	00175	13
45	PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA	00175	13
55	PARTIDO SOCIAL DEMOCRÁTICO	00175	13
90	PARTIDO REPUBLICANO DA ORDEM SOCIAL	00175	13
10	PARTIDO REPUBLICANO BRASILEIRO	00191	13
11	PARTIDO PROGRESSISTA	00191	13
12	PARTIDO DEMOCRÁTICO TRABALHISTA	00191	13
13	PARTIDO DOS TRABALHADORES	00191	13
14	PARTIDO TRABALHISTA BRASILEIRO	00191	13
15	PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO	00191	13
20	PARTIDO SOCIAL CRISTÃO	00191	13
22	PARTIDO DA REPÚBLICA	00191	13
23	PARTIDO POPULAR SOCIALISTA	00191	13
25	DEMOCRATAS	00191	13
27	PARTIDO SOCIAL DEMOCRATA CRISTÃO	00191	13
33	PARTIDO DA MOBILIZAÇÃO NACIONAL	00191	13
40	PARTIDO SOCIALISTA BRASILEIRO	00191	13
43	PARTIDO VERDE	00191	13
