Ano;SiglaUF;TSEcod;IBGEcod;Municipio
1994;AL;28819;2709103;TAQUARANA
1994;AL;28932;2709152;TEOTONIO VILELA
1994;AL;28835;2709202;TRAIPU
1994;AL;28851;2709301;UNIAO DOS PALMARES
1994;AL;28878;2709400;VICOSA
1994;AM;2895;1300029;ALVARAES
1994;AM;2917;1300060;AMATURA
1994;AM;2933;1300086;ANAMA
1994;AM;2038;1300102;ANORI
1994;AM;2003;1300144;APUI
1994;AM;2054;1300201;ATALAIA DO NORTE
1994;AM;2070;1300300;AUTAZES
1994;AM;2097;1300409;BARCELOS
1994;AM;2119;1300508;BARREIRINHA
1994;AM;2135;1300607;BENJAMIN CONSTANT
1994;AM;2950;1300631;BERURI
1994;AM;2976;1300680;BOA VISTA DO RAMOS
1994;AM;2151;1300706;BOCA DO ACRE
1994;AM;2178;1300805;BORBA
1994;AM;2992;1300839;CAAPIRANGA
1994;AM;2194;1300904;CANUTAMA
1994;AM;2216;1301001;CARAUARI
1994;AM;2232;1301100;CAREIRO
1994;AM;2046;1301159;CARREIRO DA VARZEA
1994;AM;2259;1301209;COARI
1994;AM;2275;1301308;CODAJAS
1994;AM;2291;1301407;EIRUNEPE
1994;AM;2313;1301506;ENVIRA
1994;AM;2330;1301605;FONTE BOA
1994;AM;2020;1301654;GUAJARA
1994;AM;2356;1301704;HUMAITA
1994;AM;2399;1301803;IPIXUNA
1994;AM;98353;1301852;IRANDUBA
1994;AM;2410;1301902;ITACOATIARA
1994;AM;98370;1301951;ITAMARATI
1994;AM;2437;1302009;ITAPIRANGA
1994;AM;2453;1302108;JAPURA
1994;AM;2470;1302207;JURUA
1994;AM;2496;1302306;JUTAI
1994;AM;2518;1302405;LABREA
1994;AM;2534;1302504;MANACAPURU
1994;AM;98396;1302553;MANAQUIRI
1994;AM;2550;1302603;MANAUS
1994;AM;2577;1302702;MANICORE
1994;AM;2593;1302801;MARAA
1994;AM;2615;1302900;MAUES
1994;AM;2631;1303007;NHAMUNDA
1994;AM;2658;1303106;NOVA OLINDA DO NORTE
1994;AM;2011;1303205;NOVO AIRAO
1994;AM;2674;1303304;NOVO ARIPUANA
1994;AM;2690;1303403;PARINTINS
1994;AM;2712;1303502;PAUINI
1994;AM;98418;1303536;PRESIDENTE FIGUEIREDO
1994;AM;98434;1303569;RIO PRETO DA EVA
1994;AM;2372;1303601;SANTA ISABEL DO RIO NEGRO
1994;AM;2739;1303700;SANTO ANTONIO DO ICA
1994;AM;2836;1303809;SAO GABRIEL DA CACHOEIRA
1994;AM;2755;1303908;SAO PAULO DE OLIVENCA
1994;AM;98450;1303957;SAO SEBASTIAO DO UATUMA
1994;AM;2771;1304005;SILVES
1994;AM;98477;1304062;TABATINGA
1994;AM;2798;1304104;TAPAUA
1994;AM;2810;1304203;TEFE
1994;AM;98515;1304237;TONANTINS
1994;AM;98493;1304260;UARINI
1994;AM;2852;1304302;URUCARA
1994;AM;2879;1304401;URUCURITUBA
1994;AP;6017;1600105;AMAPA
1994;AP;6033;1600204;CALCOENE
1994;AP;6068;1600212;CUTIAS
1994;AP;6114;1600238;FERREIRA GOMES
1994;AP;6041;1600253;ITAUBAL
1994;AP;6130;1600279;LARANJAL DO JARI
1994;AP;6050;1600303;MACAPA
1994;AP;6076;1600402;MAZAGAO
1994;AP;6092;1600501;OIAPOQUE
1994;AP;6084;1600154;PEDRA BRANCA DO AMAPARI
1994;AP;6025;1600535;PORTO GRANDE
1994;AP;6009;1600550;PRACUUBA
1994;AP;6157;1600600;SANTANA
1994;AP;6106;1600055;SERRA DO NAVIO
1994;AP;6173;1600709;TARTARUGALZINHO
1994;BA;33014;2900108;ABAIRA
1994;BA;33030;2900207;ABARE
1994;BA;33057;2900306;ACAJUTIBA
1994;BA;33065;2900355;ADUSTINA
1994;BA;33073;2900405;AGUA FRIA
1994;BA;33111;2900603;AIQUARA
1994;BA;33138;2900702;ALAGOINHAS
1994;BA;33154;2900801;ALCOBACA
1994;BA;33170;2900900;ALMADINA
1994;BA;33197;2901007;AMARGOSA
1994;BA;33219;2901106;AMELIA RODRIGUES
1994;BA;30716;2901155;AMERICA DOURADA
1994;BA;33235;2901205;ANAGE
1994;BA;33251;2901304;ANDARAI
1994;BA;33260;2901353;ANDORINHA
1994;BA;33278;2901403;ANGICAL
