nome_uf;uf;nome_municipio;cod_ibge;cod_tse;2000;2004;2008;2012;2016
Acre;AC;Senador Guiomard;1200450; 1538; 9; 9; 9; 9;11
Acre;AC;Tarauacá;1200609; 1473; 9; 9; 9;11;11
Acre;AC;Xapuri;1200708; 1490; 9; 9; 9; 9; 9
Amazonas;AM;Alvarães;1300029; 2895; 9; 9; 9; 9; 9
Amazonas;AM;Amaturá;1300060; 2917; 9; 9; 9; 9; 9
Amazonas;AM;Anamã;1300086; 2933;11; 9; 9; 9; 9
Amazonas;AM;Anori;1300102; 2038; 9; 9; 9;11;11
Amazonas;AM;Apuí;1300144; 2003; 9; 9; 9; 9;11
Amazonas;AM;Atalaia do Norte;1300201; 2054; 9; 9; 9;11;11
Amazonas;AM;Autazes;1300300; 2070; 9; 9; 9;13;13
Amazonas;AM;Barcelos;1300409; 2097; 9; 9; 9;11;11
Amazonas;AM;Barreirinha;1300508; 2119; 9; 9; 9;11;11
Amazonas;AM;Benjamin Constant;1300607; 2135;13; 9; 9;13;13
Amazonas;AM;Beruri;1300631; 2950; 9; 9; 9; 9; 9
Amazonas;AM;Boa Vista do Ramos;1300680; 2976; 9; 9; 9; 9; 9
Amazonas;AM;Boca do Acre;1300706; 2151; 9; 9; 9;11;11
Amazonas;AM;Borba;1300805; 2178; 9; 9; 9; 9; 9
Amazonas;AM;Caapiranga;1300839; 2992; 9; 9; 9; 9; 9
Amazonas;AM;Canutama;1300904; 2194; 9; 9; 9; 9; 9
Amazonas;AM;Carauari;1301001; 2216; 9; 9; 9;11;11
Amazonas;AM;Careiro;1301100; 2232; 9; 9; 9;13;13
Amazonas;AM;Careiro da Várzea;1301159; 2046; 9; 9; 9;11;11
Amazonas;AM;Coari;1301209; 2259;11;10;10;15;15
Amazonas;AM;Codajás;1301308; 2275; 9; 9; 9;11;11
Amazonas;AM;Eirunepé;1301407; 2291;11; 9; 9;11;13
Amazonas;AM;Envira;1301506; 2313; 9; 9; 9;11;11
Amazonas;AM;Fonte Boa;1301605; 2330; 9; 9; 9;11;11
Amazonas;AM;Guajará;1301654; 2020; 9; 9; 9; 9; 9
Amazonas;AM;Humaitá;1301704; 2356;11; 9; 9;13;15
Amazonas;AM;Ipixuna;1301803; 2399; 9; 9; 9;11;11
Amazonas;AM;Iranduba;1301852;98353;11; 9; 9;13;13
Amazonas;AM;Itacoatiara;1301902; 2410;15;10;10;15;15
Amazonas;AM;Itamarati;1301951;98370; 9; 9; 9; 9; 9
Amazonas;AM;Itapiranga;1302009; 2437; 9; 9; 9; 9; 9
Amazonas;AM;Japurá;1302108; 2453; 9; 9; 9; 9; 9
Amazonas;AM;Juruá;1302207; 2470; 9; 9; 9; 9; 9
Amazonas;AM;Jutaí;1302306; 2496; 9; 9; 9;11;11
Amazonas;AM;Lábrea;1302405; 2518;11; 9; 9; 9;13
Amazonas;AM;Manacapuru;1302504; 2534;13;10;10;15;15
Amazonas;AM;Manaquiri;1302553;98396; 9; 9; 9;11;11
Amazonas;AM;Manaus;1302603; 2550;33;37;38;41;41
Amazonas;AM;Manicoré;1302702; 2577;11; 9; 9;13;15
Amazonas;AM;Maraã;1302801; 2593; 9; 9; 9;11;11
Amazonas;AM;Maués;1302900; 2615;13; 9; 9;15;15
Amazonas;AM;Nhamundá;1303007; 2631; 9; 9; 9; 9;11
Amazonas;AM;Nova Olinda do Norte;1303106; 2658; 9; 9; 9;13;13
Amazonas;AM;Novo Airão;1303205; 2011; 9; 9; 9; 9; 9
Amazonas;AM;Novo Aripuanã;1303304; 2674; 9; 9; 9;11;11
Amazonas;AM;Parintins;1303403; 2690;13;11;11;11;11
Amazonas;AM;Pauini;1303502; 2712; 9; 9; 9;11;11
Amazonas;AM;Presidente Figueiredo;1303536;98418; 9; 9; 9;11;11
Amazonas;AM;Rio Preto da Eva;1303569;98434; 9; 9; 9;11;11
Amazonas;AM;Santa Isabel do Rio Negro;1303601; 2372; 9; 9; 9; 9; 9
