UF,TSEcod,uf_des,meso,meso_des,micro,micro_des,mun_des,macro,macro_des
AC,01007,Acre,2,Vale do Acre,4,Rio Branco,Bujari,1,Norte
AC,01015,Acre,2,Vale do Acre,4,Rio Branco,Capixaba,1,Norte
AC,01023,Acre,2,Vale do Acre,4,Rio Branco,Porto Acre,1,Norte
AC,01031,Acre,2,Vale do Acre,3,Sena Madureira,Santa Rosa do Purus,1,Norte
AC,01040,Acre,1,Vale do Juruá,1,Cruzeiro do Sul,Marechal Thaumaturgo,1,Norte
AC,01058,Acre,2,Vale do Acre,5,Brasiléia,Brasiléia,1,Norte
AC,01066,Acre,1,Vale do Juruá,1,Cruzeiro do Sul,Porto Walter,1,Norte
AC,01074,Acre,1,Vale do Juruá,1,Cruzeiro do Sul,Cruzeiro do Sul,1,Norte
AC,01082,Acre,1,Vale do Juruá,1,Cruzeiro do Sul,Rodrigues Alves,1,Norte
AC,01090,Acre,1,Vale do Juruá,1,Cruzeiro do Sul,Mâncio Lima,1,Norte
AC,01104,Acre,1,Vale do Juruá,2,Tarauacá,Jordão,1,Norte
AC,01112,Acre,2,Vale do Acre,5,Brasiléia,Epitaciolândia,1,Norte
AC,01120,Acre,2,Vale do Acre,4,Rio Branco,Acrelândia,1,Norte
AC,01139,Acre,1,Vale do Juruá,2,Tarauacá,Feijó,1,Norte
AC,01392,Acre,2,Vale do Acre,4,Rio Branco,Rio Branco,1,Norte
AC,01457,Acre,2,Vale do Acre,3,Sena Madureira,Sena Madureira,1,Norte
AC,01473,Acre,1,Vale do Juruá,2,Tarauacá,Tarauacá,1,Norte
AC,01490,Acre,2,Vale do Acre,5,Brasiléia,Xapuri,1,Norte
AC,01511,Acre,2,Vale do Acre,4,Rio Branco,Plácido de Castro,1,Norte
AC,01538,Acre,2,Vale do Acre,4,Rio Branco,Senador Guiomard,1,Norte
AC,01554,Acre,2,Vale do Acre,3,Sena Madureira,Manoel Urbano,1,Norte
AC,01570,Acre,2,Vale do Acre,5,Brasiléia,Assis Brasil,1,Norte
AL,27006,Alagoas,3,Leste Alagoano,11,Maceió,Paripueira,2,Nordeste
AL,27014,Alagoas,1,Sertão Alagoano,1,Serrana do Sertão Alagoano,Água Branca,2,Nordeste
AL,27022,Alagoas,1,Sertão Alagoano,1,Serrana do Sertão Alagoano,Pariconha,2,Nordeste
AL,27030,Alagoas,3,Leste Alagoano,12,São Miguel dos Campos,Anadia,2,Nordeste
AL,27049,Alagoas,2,Agreste Alagoano,5,Palmeira dos Índios,Estrela de Alagoas,2,Nordeste
AL,27057,Alagoas,2,Agreste Alagoano,6,Arapiraca,Arapiraca,2,Nordeste
AL,27065,Alagoas,3,Leste Alagoano,12,São Miguel dos Campos,Jequiá da Praia,2,Nordeste
AL,27073,Alagoas,3,Leste Alagoano,9,Mata Alagoana,Atalaia,2,Nordeste
AL,27081,Alagoas,3,Leste Alagoano,9,Mata Alagoana,Campestre,2,Nordeste
AL,27090,Alagoas,3,Leste Alagoano,11,Maceió,Barra de Santo Antônio,2,Nordeste
AL,27111,Alagoas,3,Leste Alagoano,11,Maceió,Barra de São Miguel,2,Nordeste
AL,27138,Alagoas,1,Sertão Alagoano,4,Batalha,Batalha,2,Nordeste
AL,27154,Alagoas,2,Agreste Alagoano,5,Palmeira dos Índios,Belém,2,Nordeste
AL,27170,Alagoas,1,Sertão Alagoano,4,Batalha,Belo Monte,2,Nordeste
AL,27197,Alagoas,3,Leste Alagoano,12,São Miguel dos Campos,Boca da Mata,2,Nordeste
AL,27219,Alagoas,3,Leste Alagoano,9,Mata Alagoana,Branquinha,2,Nordeste
AL,27235,Alagoas,2,Agreste Alagoano,5,Palmeira dos Índios,Cacimbinhas,2,Nordeste
AL,27251,Alagoas,3,Leste Alagoano,9,Mata Alagoana,Cajueiro,2,Nordeste
AL,27278,Alagoas,3,Leste Alagoano,12,São Miguel dos Campos,Campo Alegre,2,Nordeste
AL,27294,Alagoas,2,Agreste Alagoano,6,Arapiraca,Campo Grande,2,Nordeste
AL,27316,Alagoas,1,Sertão Alagoano,1,Serrana do Sertão Alagoano,Canapi,2,Nordeste
AL,27332,Alagoas,3,Leste Alagoano,9,Mata Alagoana,Capela,2,Nordeste
AL,27359,Alagoas,1,Sertão Alagoano,3,Santana do Ipanema,Carneiros,2,Nordeste
AL,27375,Alagoas,3,Leste Alagoano,8,Serrana dos Quilombos,Chã Preta,2,Nordeste
AL,27391,Alagoas,2,Agreste Alagoano,6,Arapiraca,Coité do Nóia,2,Nordeste
AL,27413,Alagoas,3,Leste Alagoano,9,Mata Alagoana,Colônia Leopoldina,2,Nordeste
AL,27430,Alagoas,3,Leste Alagoano,11,Maceió,Coqueiro Seco,2,Nordeste
AL,27456,Alagoas,3,Leste Alagoano,12,São Miguel dos Campos,Coruripe,2,Nordeste
AL,27472,Alagoas,1,Sertão Alagoano,2,Alagoana do Sertão do São Francisco,Delmiro Gouveia,2,Nordeste
AL,27499,Alagoas,1,Sertão Alagoano,3,Santana do Ipanema,Dois Riachos,2,Nordeste
AL,27510,Alagoas,2,Agreste Alagoano,6,Arapiraca,Feira Grande,2,Nordeste
AL,27537,Alagoas,3,Leste Alagoano,13,Penedo,Feliz Deserto,2,Nordeste
AL,27553,Alagoas,3,Leste Alagoano,9,Mata Alagoana,Flexeiras,2,Nordeste
AL,27570,Alagoas,2,Agreste Alagoano,6,Arapiraca,Girau do Ponciano,2,Nordeste
AL,27596,Alagoas,3,Leste Alagoano,8,Serrana dos Quilombos,Ibateguara,2,Nordeste
AL,27618,Alagoas,2,Agreste Alagoano,5,Palmeira dos Índios,Igaci,2,Nordeste
AL,27634,Alagoas,3,Leste Alagoano,13,Penedo,Igreja Nova,2,Nordeste
AL,27650,Alagoas,1,Sertão Alagoano,1,Serrana do Sertão Alagoano,Inhapi,2,Nordeste
AL,27677,Alagoas,1,Sertão Alagoano,4,Batalha,Jacaré dos Homens,2,Nordeste
AL,27693,Alagoas,3,Leste Alagoano,9,Mata Alagoana,Jacuípe,2,Nordeste
AL,27715,Alagoas,3,Leste Alagoano,10,Litoral Norte Alagoano,Japaratinga,2,Nordeste
AL,27731,Alagoas,1,Sertão Alagoano,4,Batalha,Jaramataia,2,Nordeste
AL,27758,Alagoas,3,Leste Alagoano,9,Mata Alagoana,Joaquim Gomes,2,Nordeste
AL,27774,Alagoas,3,Leste Alagoano,9,Mata Alagoana,Jundiá,2,Nordeste
AL,27790,Alagoas,3,Leste Alagoano,12,São Miguel dos Campos,Junqueiro,2,Nordeste
AL,27812,Alagoas,2,Agreste Alagoano,6,Arapiraca,Lagoa da Canoa,2,Nordeste
AL,27839,Alagoas,2,Agreste Alagoano,6,Arapiraca,Limoeiro de Anadia,2,Nordeste
AL,27855,Alagoas,3,Leste Alagoano,11,Maceió,Maceió,2,Nordeste
AL,27871,Alagoas,1,Sertão Alagoano,4,Batalha,Major Isidoro,2,Nordeste
AL,27898,Alagoas,3,Leste Alagoano,10,Litoral Norte Alagoano,Maragogi,2,Nordeste
AL,27910,Alagoas,1,Sertão Alagoano,3,Santana do Ipanema,Maravilha,2,Nordeste
AL,27936,Alagoas,3,Leste Alagoano,11,Maceió,Marechal Deodoro,2,Nordeste
AL,27952,Alagoas,2,Agreste Alagoano,5,Palmeira dos Índios,Maribondo,2,Nordeste
AL,27979,Alagoas,2,Agreste Alagoano,5,Palmeira dos Índios,Mar Vermelho,2,Nordeste
AL,27995,Alagoas,1,Sertão Alagoano,1,Serrana do Sertão Alagoano,Mata Grande,2,Nordeste
AL,28010,Alagoas,3,Leste Alagoano,9,Mata Alagoana,Matriz de Camaragibe,2,Nordeste
AL,28037,Alagoas,3,Leste Alagoano,9,Mata Alagoana,Messias,2,Nordeste
AL,28053,Alagoas,2,Agreste Alagoano,5,Palmeira dos Índios,Minador do Negrão,2,Nordeste
AL,28070,Alagoas,1,Sertão Alagoano,4,Batalha,Monteirópolis,2,Nordeste
AL,28096,Alagoas,3,Leste Alagoano,9,Mata Alagoana,Murici,2,Nordeste
AL,28118,Alagoas,3,Leste Alagoano,9,Mata Alagoana,Novo Lino,2,Nordeste
AL,28134,Alagoas,1,Sertão Alagoano,4,Batalha,Olho d'Água das Flores,2,Nordeste
AL,28150,Alagoas,1,Sertão Alagoano,2,Alagoana do Sertão do São Francisco,Olho d'Água do Casado,2,Nordeste
AL,28177,Alagoas,2,Agreste Alagoano,7,Traipu,Olho d'Água Grande,2,Nordeste
AL,28193,Alagoas,1,Sertão Alagoano,4,Batalha,Olivença,2,Nordeste
AL,28215,Alagoas,1,Sertão Alagoano,3,Santana do Ipanema,Ouro Branco,2,Nordeste
AL,28231,Alagoas,1,Sertão Alagoano,3,Santana do Ipanema,Palestina,2,Nordeste
AL,28258,Alagoas,2,Agreste Alagoano,5,Palmeira dos Índios,Palmeira dos Índios,2,Nordeste
AL,28274,Alagoas,1,Sertão Alagoano,3,Santana do Ipanema,Pão de Açúcar,2,Nordeste
AL,28290,Alagoas,3,Leste Alagoano,10,Litoral Norte Alagoano,Passo de Camaragibe,2,Nordeste
AL,28312,Alagoas,2,Agreste Alagoano,5,Palmeira dos Índios,Paulo Jacinto,2,Nordeste
AL,28339,Alagoas,3,Leste Alagoano,13,Penedo,Penedo,2,Nordeste
AL,28355,Alagoas,3,Leste Alagoano,13,Penedo,Piaçabuçu,2,Nordeste
AL,28371,Alagoas,3,Leste Alagoano,11,Maceió,Pilar,2,Nordeste
AL,28398,Alagoas,3,Leste Alagoano,8,Serrana dos Quilombos,Pindoba,2,Nordeste
AL,28410,Alagoas,1,Sertão Alagoano,2,Alagoana do Sertão do São Francisco,Piranhas,2,Nordeste
AL,28436,Alagoas,1,Sertão Alagoano,3,Santana do Ipanema,Poço das Trincheiras,2,Nordeste
AL,28452,Alagoas,3,Leste Alagoano,9,Mata Alagoana,Porto Calvo,2,Nordeste
AL,28479,Alagoas,3,Leste Alagoano,10,Litoral Norte Alagoano,Porto de Pedras,2,Nordeste
AL,28495,Alagoas,3,Leste Alagoano,13,Penedo,Porto Real do Colégio,2,Nordeste
AL,28517,Alagoas,2,Agreste Alagoano,5,Palmeira dos Índios,Quebrangulo,2,Nordeste
AL,28533,Alagoas,3,Leste Alagoano,11,Maceió,Rio Largo,2,Nordeste
AL,28550,Alagoas,3,Leste Alagoano,12,São Miguel dos Campos,Roteiro,2,Nordeste
AL,28576,Alagoas,3,Leste Alagoano,11,Maceió,Santa Luzia do Norte,2,Nordeste
AL,28592,Alagoas,1,Sertão Alagoano,3,Santana do Ipanema,Santana do Ipanema,2,Nordeste
AL,28614,Alagoas,3,Leste Alagoano,8,Serrana dos Quilombos,Santana do Mundaú,2,Nordeste
AL,28630,Alagoas,2,Agreste Alagoano,7,Traipu,São Brás,2,Nordeste
AL,28657,Alagoas,3,Leste Alagoano,8,Serrana dos Quilombos,São José da Laje,2,Nordeste
AL,28673,Alagoas,1,Sertão Alagoano,3,Santana do Ipanema,São José da Tapera,2,Nordeste
AL,28690,Alagoas,3,Leste Alagoano,9,Mata Alagoana,São Luís do Quitunde,2,Nordeste
AL,28711,Alagoas,3,Leste Alagoano,12,São Miguel dos Campos,São Miguel dos Campos,2,Nordeste
AL,28738,Alagoas,3,Leste Alagoano,10,Litoral Norte Alagoano,São Miguel dos Milagres,2,Nordeste
AL,28754,Alagoas,2,Agreste Alagoano,6,Arapiraca,São Sebastião,2,Nordeste
AL,28770,Alagoas,3,Leste Alagoano,11,Maceió,Satuba,2,Nordeste
AL,28797,Alagoas,2,Agreste Alagoano,5,Palmeira dos Índios,Tanque d'Arca,2,Nordeste
AL,28819,Alagoas,2,Agreste Alagoano,6,Arapiraca,Taquarana,2,Nordeste
AL,28835,Alagoas,2,Agreste Alagoano,7,Traipu,Traipu,2,Nordeste
AL,28851,Alagoas,3,Leste Alagoano,8,Serrana dos Quilombos,União dos Palmares,2,Nordeste
AL,28878,Alagoas,3,Leste Alagoano,8,Serrana dos Quilombos,Viçosa,2,Nordeste
AL,28894,Alagoas,2,Agreste Alagoano,6,Arapiraca,Craíbas,2,Nordeste
AL,28916,Alagoas,1,Sertão Alagoano,3,Santana do Ipanema,Senador Rui Palmeira,2,Nordeste
AL,28932,Alagoas,3,Leste Alagoano,12,São Miguel dos Campos,Teotônio Vilela,2,Nordeste
AM,02003,Amazonas,4,Sul Amazonense,13,Madeira,Apuí,1,Norte
AM,02011,Amazonas,1,Norte Amazonense,1,Rio Negro,Novo Airão,1,Norte
AM,02020,Amazonas,2,Sudoeste Amazonense,4,Juruá,Guajará,1,Norte
AM,02038,Amazonas,3,Centro Amazonense,6,Coari,Anori,1,Norte
AM,02046,Amazonas,3,Centro Amazonense,7,Manaus,Careiro da Várzea,1,Norte
AM,02054,Amazonas,2,Sudoeste Amazonense,3,Alto Solimões,Atalaia do Norte,1,Norte
AM,02070,Amazonas,3,Centro Amazonense,7,Manaus,Autazes,1,Norte
AM,02097,Amazonas,1,Norte Amazonense,1,Rio Negro,Barcelos,1,Norte
AM,02119,Amazonas,3,Centro Amazonense,10,Parintins,Barreirinha,1,Norte
AM,02135,Amazonas,2,Sudoeste Amazonense,3,Alto Solimões,Benjamin Constant,1,Norte
AM,02151,Amazonas,4,Sul Amazonense,11,Boca do Acre,Boca do Acre,1,Norte
AM,02178,Amazonas,4,Sul Amazonense,13,Madeira,Borba,1,Norte
AM,02194,Amazonas,4,Sul Amazonense,12,Purus,Canutama,1,Norte
AM,02216,Amazonas,2,Sudoeste Amazonense,4,Juruá,Carauari,1,Norte
AM,02232,Amazonas,3,Centro Amazonense,7,Manaus,Careiro,1,Norte
AM,02259,Amazonas,3,Centro Amazonense,6,Coari,Coari,1,Norte
AM,02275,Amazonas,3,Centro Amazonense,6,Coari,Codajás,1,Norte
AM,02291,Amazonas,2,Sudoeste Amazonense,4,Juruá,Eirunepé,1,Norte
AM,02313,Amazonas,2,Sudoeste Amazonense,4,Juruá,Envira,1,Norte
AM,02330,Amazonas,2,Sudoeste Amazonense,3,Alto Solimões,Fonte Boa,1,Norte
AM,02356,Amazonas,4,Sul Amazonense,13,Madeira,Humaitá,1,Norte
AM,02372,Amazonas,1,Norte Amazonense,1,Rio Negro,Santa Isabel do Rio Negro,1,Norte
AM,02399,Amazonas,2,Sudoeste Amazonense,4,Juruá,Ipixuna,1,Norte
AM,02410,Amazonas,3,Centro Amazonense,9,Itacoatiara,Itacoatiara,1,Norte
AM,02437,Amazonas,3,Centro Amazonense,9,Itacoatiara,Itapiranga,1,Norte
AM,02453,Amazonas,1,Norte Amazonense,2,Japurá,Japurá,1,Norte
AM,02470,Amazonas,2,Sudoeste Amazonense,4,Juruá,Juruá,1,Norte
AM,02496,Amazonas,2,Sudoeste Amazonense,3,Alto Solimões,Jutaí,1,Norte
AM,02518,Amazonas,4,Sul Amazonense,12,Purus,Lábrea,1,Norte
AM,02534,Amazonas,3,Centro Amazonense,7,Manaus,Manacapuru,1,Norte
AM,02550,Amazonas,3,Centro Amazonense,7,Manaus,Manaus,1,Norte
AM,02577,Amazonas,4,Sul Amazonense,13,Madeira,Manicoré,1,Norte
AM,02593,Amazonas,1,Norte Amazonense,2,Japurá,Maraã,1,Norte
AM,02615,Amazonas,3,Centro Amazonense,10,Parintins,Maués,1,Norte
AM,02631,Amazonas,3,Centro Amazonense,10,Parintins,Nhamundá,1,Norte
AM,02658,Amazonas,3,Centro Amazonense,9,Itacoatiara,Nova Olinda do Norte,1,Norte
AM,02674,Amazonas,4,Sul Amazonense,13,Madeira,Novo Aripuanã,1,Norte
AM,02690,Amazonas,3,Centro Amazonense,10,Parintins,Parintins,1,Norte
AM,02712,Amazonas,4,Sul Amazonense,11,Boca do Acre,Pauini,1,Norte
AM,02739,Amazonas,2,Sudoeste Amazonense,3,Alto Solimões,Santo Antônio do Içá,1,Norte
AM,02755,Amazonas,2,Sudoeste Amazonense,3,Alto Solimões,São Paulo de Olivença,1,Norte
AM,02771,Amazonas,3,Centro Amazonense,9,Itacoatiara,Silves,1,Norte
AM,02798,Amazonas,4,Sul Amazonense,12,Purus,Tapauá,1,Norte
AM,02810,Amazonas,3,Centro Amazonense,5,Tefé,Tefé,1,Norte
AM,02836,Amazonas,1,Norte Amazonense,1,Rio Negro,São Gabriel da Cachoeira,1,Norte
AM,02852,Amazonas,3,Centro Amazonense,10,Parintins,Urucará,1,Norte
AM,02879,Amazonas,3,Centro Amazonense,9,Itacoatiara,Urucurituba,1,Norte
AM,02895,Amazonas,3,Centro Amazonense,5,Tefé,Alvarães,1,Norte
AM,02917,Amazonas,2,Sudoeste Amazonense,3,Alto Solimões,Amaturá,1,Norte
AM,02933,Amazonas,3,Centro Amazonense,6,Coari,Anamã,1,Norte
AM,02950,Amazonas,3,Centro Amazonense,6,Coari,Beruri,1,Norte
AM,02976,Amazonas,3,Centro Amazonense,10,Parintins,Boa Vista do Ramos,1,Norte
AM,02992,Amazonas,3,Centro Amazonense,6,Coari,Caapiranga,1,Norte
AM,98353,Amazonas,3,Centro Amazonense,7,Manaus,Iranduba,1,Norte
AM,98370,Amazonas,2,Sudoeste Amazonense,4,Juruá,Itamarati,1,Norte
AM,98396,Amazonas,3,Centro Amazonense,7,Manaus,Manaquiri,1,Norte
AM,98418,Amazonas,3,Centro Amazonense,8,Rio Preto da Eva,Presidente Figueiredo,1,Norte
AM,98434,Amazonas,3,Centro Amazonense,8,Rio Preto da Eva,Rio Preto da Eva,1,Norte
AM,98450,Amazonas,3,Centro Amazonense,10,Parintins,São Sebastião do Uatumã,1,Norte
AM,98477,Amazonas,2,Sudoeste Amazonense,3,Alto Solimões,Tabatinga,1,Norte
AM,98493,Amazonas,3,Centro Amazonense,5,Tefé,Uarini,1,Norte
AM,98515,Amazonas,2,Sudoeste Amazonense,3,Alto Solimões,Tonantins,1,Norte
AP,06009,Amapá,1,Norte do Amapá,2,Amapá,Pracuúba,1,Norte
AP,06017,Amapá,1,Norte do Amapá,2,Amapá,Amapá,1,Norte
AP,06025,Amapá,2,Sul do Amapá,3,Macapá,Porto Grande,1,Norte
AP,06033,Amapá,1,Norte do Amapá,1,Oiapoque,Calçoene,1,Norte
AP,06041,Amapá,2,Sul do Amapá,3,Macapá,Itaubal,1,Norte
AP,06050,Amapá,2,Sul do Amapá,3,Macapá,Macapá,1,Norte
AP,06068,Amapá,2,Sul do Amapá,3,Macapá,Cutias,1,Norte
AP,06076,Amapá,2,Sul do Amapá,4,Mazagão,Mazagão,1,Norte
AP,06084,Amapá,2,Sul do Amapá,3,Macapá,Pedra Branca do Amapari,1,Norte
AP,06092,Amapá,1,Norte do Amapá,1,Oiapoque,Oiapoque,1,Norte
AP,06106,Amapá,2,Sul do Amapá,3,Macapá,Serra do Navio,1,Norte
AP,06114,Amapá,2,Sul do Amapá,3,Macapá,Ferreira Gomes,1,Norte
AP,06122,Amapá,2,Sul do Amapá,4,Mazagão,Vitória do Jari,1,Norte
AP,06130,Amapá,2,Sul do Amapá,4,Mazagão,Laranjal do Jari,1,Norte
AP,06157,Amapá,2,Sul do Amapá,3,Macapá,Santana,1,Norte
AP,06173,Amapá,1,Norte do Amapá,2,Amapá,Tartarugalzinho,1,Norte
BA,30007,Bahia,1,Extremo Oeste Baiano,1,Barreiras,Luís Eduardo Magalhães,2,Nordeste
BA,30058,Bahia,7,Sul Baiano,32,Porto Seguro,Eunápolis,2,Nordeste
BA,30660,Bahia,6,Centro Sul Baiano,26,Guanambi,Iuiú,2,Nordeste
BA,30678,Bahia,1,Extremo Oeste Baiano,3,Santa Maria da Vitória,Jaborandi,2,Nordeste
BA,30694,Bahia,7,Sul Baiano,31,Ilhéus-Itabuna,Jussari,2,Nordeste
BA,30716,Bahia,3,Centro Norte Baiano,9,Irecê,América Dourada,2,Nordeste
BA,30732,Bahia,7,Sul Baiano,31,Ilhéus-Itabuna,Arataca,2,Nordeste
BA,30759,Bahia,3,Centro Norte Baiano,9,Irecê,Barro Alto,2,Nordeste
BA,30775,Bahia,4,Nordeste Baiano,16,Serrinha,Barrocas,2,Nordeste
BA,30791,Bahia,2,Vale São-Franciscano da Bahia,6,Barra,Buritirama,2,Nordeste
BA,30813,Bahia,4,Nordeste Baiano,16,Serrinha,Capela do Alto Alegre,2,Nordeste
BA,30830,Bahia,3,Centro Norte Baiano,10,Jacobina,Capim Grosso,2,Nordeste
BA,30856,Bahia,4,Nordeste Baiano,14,Euclides da Cunha,Canudos,2,Nordeste
BA,30872,Bahia,5,Metropolitana de Salvador,21,Salvador,Dias d'Ávila,2,Nordeste
BA,30899,Bahia,4,Nordeste Baiano,15,Ribeira do Pombal,Fátima,2,Nordeste
BA,30910,Bahia,3,Centro Norte Baiano,8,Senhor do Bonfim,Filadélfia,2,Nordeste
BA,30937,Bahia,4,Nordeste Baiano,16,Serrinha,Gavião,2,Nordeste
BA,30953,Bahia,6,Centro Sul Baiano,27,Brumado,Guajeru,2,Nordeste
BA,30970,Bahia,4,Nordeste Baiano,15,Ribeira do Pombal,Heliópolis,2,Nordeste
BA,30996,Bahia,3,Centro Norte Baiano,9,Irecê,João Dourado,2,Nordeste
BA,33014,Bahia,6,Centro Sul Baiano,23,Seabra,Abaíra,2,Nordeste
BA,33030,Bahia,2,Vale São-Franciscano da Bahia,5,Paulo Afonso,Abaré,2,Nordeste
BA,33057,Bahia,4,Nordeste Baiano,17,Alagoinhas,Acajutiba,2,Nordeste
BA,33065,Bahia,4,Nordeste Baiano,15,Ribeira do Pombal,Adustina,2,Nordeste
BA,33073,Bahia,3,Centro Norte Baiano,12,Feira de Santana,Água Fria,2,Nordeste
BA,33090,Bahia,6,Centro Sul Baiano,25,Livramento do Brumado,Érico Cardoso,2,Nordeste
BA,33111,Bahia,6,Centro Sul Baiano,24,Jequié,Aiquara,2,Nordeste
BA,33138,Bahia,4,Nordeste Baiano,17,Alagoinhas,Alagoinhas,2,Nordeste
BA,33154,Bahia,7,Sul Baiano,32,Porto Seguro,Alcobaça,2,Nordeste
BA,33170,Bahia,7,Sul Baiano,31,Ilhéus-Itabuna,Almadina,2,Nordeste
BA,33197,Bahia,6,Centro Sul Baiano,24,Jequié,Amargosa,2,Nordeste
BA,33219,Bahia,5,Metropolitana de Salvador,19,Catu,Amélia Rodrigues,2,Nordeste
BA,33235,Bahia,6,Centro Sul Baiano,28,Vitória da Conquista,Anagé,2,Nordeste
BA,33251,Bahia,6,Centro Sul Baiano,23,Seabra,Andaraí,2,Nordeste
BA,33260,Bahia,3,Centro Norte Baiano,8,Senhor do Bonfim,Andorinha,2,Nordeste
BA,33278,Bahia,1,Extremo Oeste Baiano,2,Cotegipe,Angical,2,Nordeste
BA,33294,Bahia,3,Centro Norte Baiano,12,Feira de Santana,Anguera,2,Nordeste
BA,33316,Bahia,4,Nordeste Baiano,15,Ribeira do Pombal,Antas,2,Nordeste
BA,33332,Bahia,3,Centro Norte Baiano,12,Feira de Santana,Antônio Cardoso,2,Nordeste
BA,33359,Bahia,3,Centro Norte Baiano,8,Senhor do Bonfim,Antônio Gonçalves,2,Nordeste
BA,33375,Bahia,4,Nordeste Baiano,17,Alagoinhas,Aporá,2,Nordeste
BA,33383,Bahia,4,Nordeste Baiano,17,Alagoinhas,Araças,2,Nordeste
BA,33391,Bahia,6,Centro Sul Baiano,27,Brumado,Aracatu,2,Nordeste
BA,33405,Bahia,6,Centro Sul Baiano,24,Jequié,Apuarema,2,Nordeste
BA,33413,Bahia,4,Nordeste Baiano,16,Serrinha,Araci,2,Nordeste
BA,33430,Bahia,4,Nordeste Baiano,17,Alagoinhas,Aramari,2,Nordeste
BA,33456,Bahia,5,Metropolitana de Salvador,20,Santo Antônio de Jesus,Aratuípe,2,Nordeste
BA,33472,Bahia,7,Sul Baiano,31,Ilhéus-Itabuna,Aurelino Leal,2,Nordeste
BA,33499,Bahia,1,Extremo Oeste Baiano,1,Barreiras,Baianópolis,2,Nordeste
BA,33510,Bahia,3,Centro Norte Baiano,11,Itaberaba,Baixa Grande,2,Nordeste
BA,33529,Bahia,4,Nordeste Baiano,15,Ribeira do Pombal,Banzaê,2,Nordeste
BA,33537,Bahia,2,Vale São-Franciscano da Bahia,6,Barra,Barra,2,Nordeste
BA,33553,Bahia,6,Centro Sul Baiano,23,Seabra,Barra da Estiva,2,Nordeste
BA,33570,Bahia,6,Centro Sul Baiano,28,Vitória da Conquista,Barra do Choça,2,Nordeste
BA,33596,Bahia,3,Centro Norte Baiano,9,Irecê,Barra do Mendes,2,Nordeste
BA,33618,Bahia,7,Sul Baiano,31,Ilhéus-Itabuna,Barra do Rocha,2,Nordeste
BA,33634,Bahia,1,Extremo Oeste Baiano,1,Barreiras,Barreiras,2,Nordeste
BA,33650,Bahia,7,Sul Baiano,31,Ilhéus-Itabuna,Barro Preto,2,Nordeste
BA,33677,Bahia,7,Sul Baiano,31,Ilhéus-Itabuna,Belmonte,2,Nordeste
BA,33693,Bahia,6,Centro Sul Baiano,28,Vitória da Conquista,Belo Campo,2,Nordeste
BA,33715,Bahia,4,Nordeste Baiano,16,Serrinha,Biritinga,2,Nordeste
BA,33731,Bahia,6,Centro Sul Baiano,28,Vitória da Conquista,Boa Nova,2,Nordeste
BA,33758,Bahia,3,Centro Norte Baiano,11,Itaberaba,Boa Vista do Tupim,2,Nordeste
BA,33774,Bahia,2,Vale São-Franciscano da Bahia,7,Bom Jesus da Lapa,Bom Jesus da Lapa,2,Nordeste
BA,33782,Bahia,6,Centro Sul Baiano,28,Vitória da Conquista,Bom Jesus da Serra,2,Nordeste
BA,33790,Bahia,6,Centro Sul Baiano,23,Seabra,Boninal,2,Nordeste
BA,33804,Bahia,6,Centro Sul Baiano,23,Seabra,Bonito,2,Nordeste
BA,33812,Bahia,6,Centro Sul Baiano,22,Boquira,Boquira,2,Nordeste
BA,33839,Bahia,6,Centro Sul Baiano,22,Boquira,Botuporã,2,Nordeste
BA,33855,Bahia,6,Centro Sul Baiano,24,Jequié,Brejões,2,Nordeste
BA,33871,Bahia,1,Extremo Oeste Baiano,2,Cotegipe,Brejolândia,2,Nordeste
BA,33898,Bahia,6,Centro Sul Baiano,22,Boquira,Brotas de Macaúbas,2,Nordeste
BA,33910,Bahia,6,Centro Sul Baiano,27,Brumado,Brumado,2,Nordeste
BA,33936,Bahia,7,Sul Baiano,31,Ilhéus-Itabuna,Buerarema,2,Nordeste
BA,33952,Bahia,6,Centro Sul Baiano,28,Vitória da Conquista,Caatiba,2,Nordeste
BA,33960,Bahia,5,Metropolitana de Salvador,20,Santo Antônio de Jesus,Cabaceiras do Paraguaçu,2,Nordeste
BA,33979,Bahia,5,Metropolitana de Salvador,20,Santo Antônio de Jesus,Cachoeira,2,Nordeste
BA,33995,Bahia,6,Centro Sul Baiano,26,Guanambi,Caculé,2,Nordeste
BA,34010,Bahia,3,Centro Norte Baiano,10,Jacobina,Caém,2,Nordeste
BA,34029,Bahia,6,Centro Sul Baiano,28,Vitória da Conquista,Caetanos,2,Nordeste
BA,34037,Bahia,6,Centro Sul Baiano,26,Guanambi,Caetité,2,Nordeste
BA,34053,Bahia,3,Centro Norte Baiano,9,Irecê,Cafarnaum,2,Nordeste
BA,34070,Bahia,7,Sul Baiano,30,Valença,Cairu,2,Nordeste
BA,34096,Bahia,3,Centro Norte Baiano,10,Jacobina,Caldeirão Grande,2,Nordeste
BA,34118,Bahia,7,Sul Baiano,31,Ilhéus-Itabuna,Camacan,2,Nordeste
BA,34134,Bahia,5,Metropolitana de Salvador,21,Salvador,Camaçari,2,Nordeste
BA,34150,Bahia,7,Sul Baiano,30,Valença,Camamu,2,Nordeste
BA,34177,Bahia,2,Vale São-Franciscano da Bahia,4,Juazeiro,Campo Alegre de Lourdes,2,Nordeste
BA,34193,Bahia,3,Centro Norte Baiano,8,Senhor do Bonfim,Campo Formoso,2,Nordeste
